;degree;cohort;gender;school;test;total_cfu;total_cfu_g;avg_g;math_course_g;math_course_d;EsitoTest
0;CdS3;2010;M;LS;15.0;32;30;25;21;2011-02-25;1
1;CdS3;2010;M;LS;10.0;14;12;27;0;0000-00-00;0
2;CdS3;2010;F;LC;8.0;24;24;28;0;0000-00-00;0
3;CdS3;2010;F;LS;16.0;39;39;26;19;2011-02-25;1
4;CdS3;2010;M;AL;12.0;6;6;27;0;0000-00-00;1
5;CdS3;2010;M;LS;14.0;33;33;28;22;2011-06-23;1
6;CdS3;2010;F;AL;10.0;6;6;27;0;0000-00-00;0
7;CdS3;2010;F;LS;11.0;12;12;27;0;0000-00-00;0
8;CdS3;2010;F;LS;16.0;18;18;27;0;0000-00-00;1
9;CdS3;2010;M;LS;22.0;21;21;28;27;2011-02-25;1
10;CdS3;2010;M;LS;6.0;6;6;27;0;0000-00-00;0
11;CdS3;2010;F;IA;14.0;20;18;26;19;2012-01-18;1
12;CdS3;2010;M;LS;16.0;35;33;23;21;2011-07-06;1
13;CdS3;2010;M;LS;21.0;20;18;30;24;2013-07-02;1
14;CdS3;2010;M;LC;9.0;6;6;30;0;0000-00-00;0
15;CdS3;2010;M;TC;9.0;6;6;21;0;0000-00-00;0
16;CdS3;2010;M;LS;19.0;60;60;29;24;2011-02-25;1
17;CdS3;2010;F;LS;18.0;24;24;29;24;2013-02-07;1
18;CdS3;2010;M;LS;16.0;6;6;20;0;0000-00-00;1
19;CdS3;2010;M;LC;9.0;12;12;25;22;2014-07-10;0
20;CdS3;2010;F;IT;11.0;6;6;28;0;0000-00-00;0
21;CdS3;2010;M;LS;11.0;18;18;28;0;0000-00-00;0
22;CdS3;2010;F;IA;15.0;21;21;27;0;0000-00-00;1
23;CdS3;2011;F;AL;0.0;6;6;23;0;0000-00-00;0
24;CdS3;2011;F;LL;8.0;6;6;23;0;0000-00-00;0
25;CdS3;2011;M;IT;11.0;15;15;24;20;2013-02-28;0
26;CdS3;2011;F;LS;9.0;42;42;27;21;2014-09-17;0
27;CdS3;2011;M;LS;11.0;27;24;24;20;2014-02-27;0
